* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 06-24-2022
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 06-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 06-24-2022
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 06-24-2022
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 06-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 06-24-2022
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 06-24-2022
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 06-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 06-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 06-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 06-24-2022
* Chemistry = TAQMAN
* Date Created = 2022-08-17 10:41:07 AM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\coral_05.eds
* Experiment Name = Quantification-TaqMan
* Experiment Run End Time = 2022-08-16 14:42:53 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	EXPFAIL	PRFLOW	NOISE	HIGHSD	NOAMP	PRFDROP
63	F3	false	T2-09:10	D	UNKNOWN	FAM	NFQ-MGB	33.251	31.945	1.847								false	0.010	true	3	32	Amp		N	N	N	Y	N	N
64	F4	false	T2-09:10	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
64	F4	false	T2-09:10	D	UNKNOWN	FAM	NFQ-MGB	30.639	31.945	1.847								false	0.010	true	3	29	Amp		N	N	N	Y	N	N
65	F5	false	T2-06:100	C	UNKNOWN	VIC	NFQ-MGB	36.711	36.711									false	0.010	true	3	35	Inconclusive		N	N	N	N	N	N
65	F5	false	T2-06:100	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
66	F6	false	T2-06:100	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	36.711									false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
66	F6	false	T2-06:100	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
73	G1	false	T2-13	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
73	G1	false	T2-13	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	N	N
74	G2	false	T2-13	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
74	G2	false	T2-13	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
75	G3	false	T2-11:10	C	UNKNOWN	VIC	NFQ-MGB	35.883	35.883									false	0.010	true	3	35	Amp		N	N	N	N	N	N
75	G3	false	T2-11:10	D	UNKNOWN	FAM	NFQ-MGB	32.300	32.384	0.118								false	0.010	true	3	31	Amp		N	N	N	N	N	N
76	G4	false	T2-11:10	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	35.883									false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
76	G4	false	T2-11:10	D	UNKNOWN	FAM	NFQ-MGB	32.468	32.384	0.118								false	0.010	true	3	31	Amp		N	N	N	N	N	N
77	G5	false	T2-09:100	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
77	G5	false	T2-09:100	D	UNKNOWN	FAM	NFQ-MGB	33.092	33.524	0.611								false	0.010	true	3	31	Amp		N	N	N	Y	N	N
78	G6	false	T2-09:100	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
78	G6	false	T2-09:100	D	UNKNOWN	FAM	NFQ-MGB	33.956	33.524	0.611								false	0.010	true	3	33	Inconclusive		N	N	N	Y	N	N
85	H1	false	T2-14	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
85	H1	false	T2-14	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	N	N
86	H2	false	T2-14	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
86	H2	false	T2-14	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	19	No Amp		N	N	N	N	N	N
87	H3	false	T2-13:10	C	UNKNOWN	VIC	NFQ-MGB	36.831	35.306	2.157								false	0.010	true	3	35	Inconclusive		N	N	N	Y	N	N
87	H3	false	T2-13:10	D	UNKNOWN	FAM	NFQ-MGB	38.549	38.549									false	0.010	true	3	27	No Amp		N	N	N	N	N	N
88	H4	false	T2-13:10	C	UNKNOWN	VIC	NFQ-MGB	33.781	35.306	2.157								false	0.010	true	3	33	Amp		N	N	N	Y	N	N
88	H4	false	T2-13:10	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	38.549									false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
89	H5	false	T2-11:100	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	36.798									false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
89	H5	false	T2-11:100	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	31.648									false	0.010	true	3	39	No Amp		Y	N	N	N	N	N
90	H6	false	T2-11:100	C	UNKNOWN	VIC	NFQ-MGB	36.798	36.798									false	0.010	true	3	34	Inconclusive		N	N	N	N	N	N
90	H6	false	T2-11:100	D	UNKNOWN	FAM	NFQ-MGB	31.648	31.648									false	0.010	true	3	31	Amp		N	N	N	N	N	N
